I_stim_uA,frac_cc,frac_cv,frac_diff
0.0,0.0,0.0,0.0
1.4528626919568701,0.0,0.0,0.0
2.9057253839137402,0.0,0.0,0.0
4.35858807587061,0.0,0.0,0.0
5.8114507678274805,0.0,0.0,0.0
7.264313459784351,0.0,0.0,0.0
8.71717615174122,0.0,0.0,0.0
10.17003884369809,0.0,0.0,0.0
11.622901535654961,0.0,0.0,0.0
13.075764227611831,0.0,0.0,0.0
14.528626919568701,0.0,0.0,0.0
15.981489611525571,0.0,0.0,0.0
17.43435230348244,0.0,0.0,0.0
18.88721499543931,0.0,0.0,0.0
20.34007768739618,0.0,0.0,0.0
21.792940379353052,0.0,0.0,0.0
23.245803071309922,0.0,0.0,0.0
24.698665763266792,0.0,0.0,0.0
26.151528455223662,0.4246350767678678,0.19606544973044548,0.22856962703742234
27.604391147180532,0.4246350767678678,0.19606544973044548,0.22856962703742234
29.057253839137402,0.4246350767678678,0.19606544973044548,0.22856962703742234
30.510116531094273,0.4246350767678678,0.19606544973044548,0.22856962703742234
31.962979223051143,0.4246350767678678,0.19606544973044548,0.22856962703742234
33.415841915008016,0.5822693023109178,0.19606544973044548,0.3862038525804723
34.86870460696488,0.5822693023109178,0.19606544973044548,0.3862038525804723
36.32156729892175,0.5822693023109178,0.19606544973044548,0.3862038525804723
37.77442999087862,0.5822693023109178,0.19606544973044548,0.3862038525804723
39.2272926828355,0.5822693023109178,0.19606544973044548,0.3862038525804723
40.68015537479236,0.5822693023109178,0.19606544973044548,0.3862038525804723
42.13301806674923,0.5822693023109178,0.19606544973044548,0.3862038525804723
43.585880758706104,0.5822693023109178,0.19606544973044548,0.3862038525804723
45.03874345066298,0.5822693023109178,0.19606544973044548,0.3862038525804723
46.491606142619844,0.5822693023109178,0.19606544973044548,0.3862038525804723
47.94446883457671,0.5822693023109178,0.19606544973044548,0.3862038525804723
49.397331526533584,0.5822693023109178,0.19606544973044548,0.3862038525804723
50.85019421849046,0.7730067152180082,0.19606544973044548,0.5769412654875627
52.303056910447324,0.7730067152180082,0.19606544973044548,0.5769412654875627
53.75591960240419,0.7730067152180082,0.19606544973044548,0.5769412654875627
55.208782294361065,0.7730067152180082,0.19606544973044548,0.5769412654875627
56.66164498631794,0.7730067152180082,0.19606544973044548,0.5769412654875627
58.114507678274805,0.7730067152180082,0.19606544973044548,0.5769412654875627
59.56737037023167,0.7730067152180082,0.29695135407799744,0.4760553611400108
61.020233062188545,0.7730067152180082,0.29695135407799744,0.4760553611400108
62.47309575414542,0.7730067152180082,0.29695135407799744,0.4760553611400108
63.925958446102285,0.7730067152180082,0.29695135407799744,0.4760553611400108
65.37882113805915,0.7730067152180082,0.29695135407799744,0.4760553611400108
66.83168383001603,0.7730067152180082,0.29695135407799744,0.4760553611400108
68.2845465219729,0.7730067152180082,0.29695135407799744,0.4760553611400108
69.73740921392977,0.7730067152180082,0.29695135407799744,0.4760553611400108
71.19027190588663,0.7730067152180082,0.29695135407799744,0.4760553611400108
72.6431345978435,0.7730067152180082,0.29695135407799744,0.4760553611400108
74.09599728980038,1.0,0.29695135407799744,0.7030486459220026
75.54885998175725,1.0,0.29695135407799744,0.7030486459220026
77.00172267371411,1.0,0.29695135407799744,0.7030486459220026
78.454585365671,1.0,0.29695135407799744,0.7030486459220026
79.90744805762786,1.0,0.29695135407799744,0.7030486459220026
81.36031074958473,1.0,0.29695135407799744,0.7030486459220026
82.8131734415416,1.0,0.29695135407799744,0.7030486459220026
84.26603613349846,1.0,0.29695135407799744,0.7030486459220026
85.71889882545534,1.0,0.29695135407799744,0.7030486459220026
87.17176151741221,1.0,0.29695135407799744,0.7030486459220026
88.62462420936907,1.0,0.29695135407799744,0.7030486459220026
90.07748690132595,1.0,0.29695135407799744,0.7030486459220026
91.53034959328282,1.0,0.29695135407799744,0.7030486459220026
92.98321228523969,1.0,0.29695135407799744,0.7030486459220026
94.43607497719655,1.0,0.29695135407799744,0.7030486459220026
95.88893766915342,1.0,0.29695135407799744,0.7030486459220026
97.3418003611103,1.0,0.29695135407799744,0.7030486459220026
98.79466305306717,1.0,0.29695135407799744,0.7030486459220026
100.24752574502403,1.0,0.4246350767678678,0.5753649232321322
101.70038843698092,1.0,0.4246350767678678,0.5753649232321322
103.15325112893778,1.0,0.4246350767678678,0.5753649232321322
104.60611382089465,1.0,0.4246350767678678,0.5753649232321322
106.05897651285152,1.0,0.4246350767678678,0.5753649232321322
107.51183920480838,1.0,0.4246350767678678,0.5753649232321322
108.96470189676526,1.0,0.4246350767678678,0.5753649232321322
110.41756458872213,1.0,0.4246350767678678,0.5753649232321322
111.870427280679,1.0,0.4246350767678678,0.5753649232321322
113.32328997263588,1.0,0.4246350767678678,0.5753649232321322
114.77615266459274,1.0,0.4246350767678678,0.5753649232321322
116.22901535654961,1.0,0.4246350767678678,0.5753649232321322
117.68187804850648,1.0,0.4246350767678678,0.5753649232321322
119.13474074046334,1.0,0.4246350767678678,0.5753649232321322
120.58760343242022,1.0,0.4246350767678678,0.5753649232321322
122.04046612437709,1.0,0.4246350767678678,0.5753649232321322
123.49332881633396,1.0,0.4246350767678678,0.5753649232321322
124.94619150829084,1.0,0.4246350767678678,0.5753649232321322
126.3990542002477,1.0,0.4246350767678678,0.5753649232321322
127.85191689220457,1.0,0.4246350767678678,0.5753649232321322
129.30477958416145,1.0,0.4246350767678678,0.5753649232321322
130.7576422761183,1.0,0.4246350767678678,0.5753649232321322
132.21050496807518,1.0,0.4246350767678678,0.5753649232321322
133.66336766003207,1.0,0.4246350767678678,0.5753649232321322
